strand,outcome,predictor,n,n_events,or_primary,ci_lo_primary,ci_hi_primary,p_primary,or_adjusted,ci_lo_adjusted,ci_hi_adjusted,p_adjusted,lrt_chi2,lrt_df,lrt_p,base_auc,behaviors_auc,adjusted_auc,auc_improvement,base_aic,behaviors_aic,adjusted_aic
between-person,Depression,mesor,1662,322,1.3614326170259639,1.1948317685315417,1.5512633824426434,3.6084451720819886e-06,1.4015431831244864,1.221300438910154,1.6083866275489194,1.5370117252501724e-06,25.452653167960534,1,4.5337372378551066e-07,0.5818716974135534,0.5568068044868824,0.6017219801613053,0.044915175674422936,1619.055958238046,1635.23702308207,1611.7843699141094
between-person,Depression,amplitude,1662,322,0.8712963721993219,0.7690682966860809,0.9871130710743273,0.030490253782205032,0.8416952872987856,0.7381747448865048,0.959733398586957,0.01005978710158945,6.650573383286201,1,0.009912392058680997,0.5480393065727265,0.5568068044868824,0.5710855659590247,0.014278761472142354,1637.2887348540066,1635.23702308207,1630.5864496987838
between-person,Depression,acrophase,1662,322,1.1106983636340995,0.980498497775801,1.2581873993462767,0.09886516022198029,1.10275777869372,0.972205631011645,1.250841056335068,0.12813438779127442,2.4756762680121938,1,0.11561970392669796,0.5357212385278576,0.5568068044868824,0.5577547047371836,0.0009479002503012257,1639.0272946565158,1635.23702308207,1634.7613468140578
between-person,Obesity,mesor,2180,315,1.2822563752154659,1.1342518380460196,1.4495735044283848,7.095338415229152e-05,1.3000435764894056,1.1424378360682192,1.4793919173650705,6.904669367748822e-05,15.762240335112665,1,7.182172893738237e-05,0.5802340525128729,0.5540269798714839,0.5883195029575726,0.034292523086088766,1787.7062504902171,1799.6160675702088,1785.853827235096
between-person,Obesity,amplitude,2180,315,0.8613680215552129,0.7609482100898738,0.9750399024794488,0.0182929469254377,0.8403980176921166,0.7384064372572805,0.9564770734721483,0.008437053775896737,6.880077675329858,1,0.00871617754625098,0.553541852844802,0.5540269798714839,0.5671441337929273,0.013117153921443414,1797.3733503453484,1799.6160675702088,1794.735989894879
between-person,Obesity,acrophase,2180,315,1.202622473392636,1.0640182745150137,1.3592819297847631,0.0031452261600310167,1.1933985967351977,1.0554201374565415,1.3494154224892099,0.004796409500146162,8.412787860266008,1,0.0037259087062139207,0.5675492574152092,0.5540269798714839,0.5743733775905357,0.02034639771905189,1793.7061753255239,1799.6160675702088,1793.2032797099428
between-person,Hypertension,mesor,862,160,1.4518954386873988,1.2051632601852993,1.7491409127068474,8.719271903412379e-05,1.480793803462766,1.2242149694822413,1.7911480769599692,5.2602255657401006e-05,17.38243722263053,1,3.056371286846993e-05,0.6441862535612535,0.6504540598290599,0.6657229344729345,0.015268874643874608,796.7279785653056,798.4194277369944,783.0369905143639
between-person,Hypertension,amplitude,862,160,0.7511033376685098,0.623792642758888,0.9043970466878951,0.0025243750142148447,0.6860063810742205,0.5628979656050166,0.8360391822854273,0.00018806186612476308,14.758009211048147,1,0.00012222722626464844,0.6381499287749288,0.6504540598290599,0.6708689458689457,0.020414886039885838,803.5608521667868,798.4194277369944,785.6614185259463
between-person,Hypertension,acrophase,862,160,1.3253036225753803,1.110557842608717,1.5815742545075786,0.0017927208478310534,1.298915210742779,1.0928064442942766,1.5438971224117575,0.0030100971994132288,9.062936860370996,1,0.002608426815157605,0.6359419515669515,0.6504540598290599,0.6649127492877492,0.014458689458689333,802.7224068471915,798.4194277369944,791.3564908766234
within-person,Depression,SD daily mesor,1655,299,1.1741595705956884,1.044042740825727,1.3204925845574915,0.007379936723722117,1.0981035993748967,0.9697779898218762,1.2434098604172121,0.13995259893178766,2.026837378561595,1,0.15454190906615306,0.5465588342656446,0.5912604453389371,0.5894377521926579,-0.0018226931462791418,1564.806483697286,1556.4985229676483,1556.4716855890867
within-person,Depression,SD daily amplitude,1655,299,1.0001424377800396,0.8851393165367024,1.1300875208689518,0.9981766118217252,0.8654919129770093,0.7474594305583934,1.0021630884622084,0.05347323136883975,3.810473139083797,1,0.05093306116815055,0.5019780783536074,0.5912604453389371,0.589940904292578,-0.0013195410463591184,1571.6421461973373,1556.4985229676483,1554.6880498285645
within-person,Depression,SD daily acrophase,1655,299,1.2093766470975948,1.065850985762378,1.3722292272393621,0.0031841728086842176,1.1872777793751745,1.0464630859681439,1.3470408505560578,0.007697937080204785,7.682273633641444,1,0.005576586404269945,0.5556624342695908,0.5912604453389371,0.5930338098479692,0.0017733645090320937,1561.7680151247093,1556.4985229676483,1550.816249334007
within-person,Obesity,SD daily mesor,2135,292,1.2144235276082302,1.087731707460918,1.355871575952389,0.0005483197576392753,1.1808846714406325,1.0493329253212493,1.3289286684838686,0.005796672871257842,7.137624104565248,1,0.007548310176741069,0.5744802622287961,0.5837656738938152,0.5957417551787957,0.011976081284980511,1695.7005538482654,1699.3813858654605,1694.2437617608953
within-person,Obesity,SD daily amplitude,2135,292,1.1353912223034786,1.0069488247779361,1.2802172225267523,0.03817065947387521,1.1070376667970943,0.9609784607376949,1.275296425235977,0.15895343994022448,1.945406397078159,1,0.16308271637311345,0.5574628918008905,0.5837656738938152,0.5880655423334498,0.004299868439634591,1702.3168767418542,1699.3813858654605,1699.4359794683824
within-person,Obesity,SD daily acrophase,2135,292,1.1937915824735132,1.0640025486240559,1.3394125269977704,0.0025579872447625937,1.1714229533388245,1.0401843919894886,1.3192196942933174,0.009058547002357106,6.616788403938017,1,0.01010218410332997,0.5601163974758249,0.5837656738938152,0.591378708032615,0.007613034138799879,1697.8120759555156,1699.3813858654605,1694.7645974615225
within-person,Hypertension,SD daily mesor,950,154,1.19856098251656,1.0112807123789984,1.420523907186599,0.03667474682329944,1.148696809268576,0.95298382145108,1.384603106498322,0.14576822652446356,2.374821978978275,1,0.12330565369279411,0.5959668472231286,0.611817202897605,0.6155371010898649,0.0037198981922599295,832.9547977334239,833.3430226967208,832.9682007177425
