predictor	hr_mesor	hr_amplitude	hr_acrophase	steps_mesor	steps_amplitude	steps_acrophase	mets_mesor	mets_amplitude	mets_acrophase	sleep_mesor	sleep_amplitude	sleep_acrophase
hr_mesor	1.0	0.174	0.011	-0.042	-0.078	-0.049	0.014	-0.051	-0.028	-0.123	-0.116	0.01
hr_amplitude	0.174	1.0	-0.227	0.452	0.497	-0.097	0.523	0.628	-0.13	0.13	0.2	-0.161
hr_acrophase	0.011	-0.227	1.0	-0.235	-0.227	0.794	-0.179	-0.197	0.875	-0.118	-0.248	0.578
steps_mesor	-0.042	0.452	-0.235	1.0	0.936	-0.095	0.868	0.833	-0.16	0.096	0.195	-0.224
steps_amplitude	-0.078	0.497	-0.227	0.936	1.0	-0.089	0.792	0.889	-0.16	0.196	0.29	-0.247
steps_acrophase	-0.049	-0.097	0.794	-0.095	-0.089	1.0	-0.073	-0.053	0.959	-0.039	-0.14	0.483
mets_mesor	0.014	0.523	-0.179	0.868	0.792	-0.073	1.0	0.896	-0.113	0.059	0.15	-0.177
mets_amplitude	-0.051	0.628	-0.197	0.833	0.889	-0.053	0.896	1.0	-0.115	0.208	0.308	-0.216
mets_acrophase	-0.028	-0.13	0.875	-0.16	-0.16	0.959	-0.113	-0.115	1.0	-0.067	-0.181	0.536
sleep_mesor	-0.123	0.13	-0.118	0.096	0.196	-0.039	0.059	0.208	-0.067	1.0	0.894	-0.332
sleep_amplitude	-0.116	0.2	-0.248	0.195	0.29	-0.14	0.15	0.308	-0.181	0.894	1.0	-0.448
sleep_acrophase	0.01	-0.161	0.578	-0.224	-0.247	0.483	-0.177	-0.216	0.536	-0.332	-0.448	1.0
