predictor	hr_mesor	hr_amplitude	hr_acrophase	steps_mesor	steps_amplitude	steps_acrophase	mets_mesor	mets_amplitude	mets_acrophase	sleep_mesor	sleep_amplitude	sleep_acrophase
hr_mesor	1.0	0.173	-0.0	-0.034	-0.069	-0.045	0.009	-0.054	-0.031	-0.128	-0.116	0.011
hr_amplitude	0.173	1.0	-0.227	0.445	0.485	-0.106	0.546	0.633	-0.138	0.132	0.207	-0.163
hr_acrophase	-0.0	-0.227	1.0	-0.236	-0.235	0.794	-0.191	-0.214	0.877	-0.118	-0.256	0.557
steps_mesor	-0.034	0.445	-0.236	1.0	0.937	-0.106	0.883	0.843	-0.168	0.082	0.189	-0.222
steps_amplitude	-0.069	0.485	-0.235	0.937	1.0	-0.103	0.808	0.899	-0.173	0.184	0.286	-0.247
steps_acrophase	-0.045	-0.106	0.794	-0.106	-0.103	1.0	-0.086	-0.071	0.958	-0.042	-0.143	0.459
mets_mesor	0.009	0.546	-0.191	0.883	0.808	-0.086	1.0	0.9	-0.129	0.059	0.158	-0.178
mets_amplitude	-0.054	0.633	-0.214	0.843	0.899	-0.071	0.9	1.0	-0.136	0.207	0.317	-0.223
mets_acrophase	-0.031	-0.138	0.877	-0.168	-0.173	0.958	-0.129	-0.136	1.0	-0.067	-0.186	0.514
sleep_mesor	-0.128	0.132	-0.118	0.082	0.184	-0.042	0.059	0.207	-0.067	1.0	0.892	-0.3
sleep_amplitude	-0.116	0.207	-0.256	0.189	0.286	-0.143	0.158	0.317	-0.186	0.892	1.0	-0.418
sleep_acrophase	0.011	-0.163	0.557	-0.222	-0.247	0.459	-0.178	-0.223	0.514	-0.3	-0.418	1.0
