outcome	model	predictor	predictor_label	n	n_cases	OR	OR_lo	OR_hi	p
Depression	M1_HR	hr_mesor	HR mesor	2438	461	1.3530735180372062	1.211848902771414	1.5107559540027238	7.59789942980012e-08
Depression	M1_HR	hr_amplitude	HR amplitude	2438	461	0.8591029630629731	0.7719522136765653	0.9560927322540377	0.005391139057058788
Depression	M1_HR	hr_acrophase	HR acrophase	2438	461	1.0274634779884093	0.9219877560366883	1.1450056594439526	0.6239609196382145
Depression	M2_HR+activity	hr_mesor	HR mesor	2438	461	1.2746978452535749	1.132400919478166	1.4348757306227493	5.8496207597094046e-05
Depression	M2_HR+activity	hr_amplitude	HR amplitude	2438	461	0.7256582074575136	0.6261839160794547	0.8409347805471831	2.0171055316071626e-05
Depression	M2_HR+activity	hr_acrophase	HR acrophase	2438	461	1.2933932863626523	1.0067844702002517	1.6615931639025432	0.04412870622837956
Depression	M2_HR+activity	steps_mesor	Steps mesor	2438	461	0.1680297544641702	0.08740349585469959	0.32303053910138557	8.86794163013869e-08
Depression	M2_HR+activity	steps_amplitude	Steps amplitude	2438	461	2.095045163200446	1.0426166378391784	4.209806439446645	0.03778520682897374
Depression	M2_HR+activity	steps_acrophase	Steps acrophase	2438	461	0.6497768389258931	0.4372145866161913	0.9656812771783457	0.03294811828049251
Depression	M2_HR+activity	mets_mesor	METs mesor	2438	461	4.6320498046215794	2.7448690436141736	7.816724605645963	9.353345943560777e-09
Depression	M2_HR+activity	mets_amplitude	METs amplitude	2438	461	0.7381690128201023	0.4139327406492446	1.3163817161047724	0.3036699838698038
Depression	M2_HR+activity	mets_acrophase	METs acrophase	2438	461	1.0480539120944714	0.6330110305868983	1.7352256905193653	0.8552307964018205
Depression	M3_HR+sleep	hr_mesor	HR mesor	2438	461	1.3266193145887941	1.1843472366264727	1.485982110156345	1.0441606559660375e-06
Depression	M3_HR+sleep	hr_amplitude	HR amplitude	2438	461	0.8935555166927968	0.8008937242863108	0.9969380920341647	0.04391892901758429
Depression	M3_HR+sleep	hr_acrophase	HR acrophase	2438	461	0.962714145890388	0.8524422937146757	1.087250754134541	0.5403976807950742
Depression	M3_HR+sleep	sleep_mesor	Sleep mesor	2438	461	1.1482846485792741	0.9111239174941441	1.4471770621379845	0.24143027048331622
Depression	M3_HR+sleep	sleep_amplitude	Sleep amplitude	2438	461	0.7547616417640577	0.592077353493136	0.9621464704188859	0.023116157485801654
Depression	M3_HR+sleep	sleep_acrophase	Sleep acrophase	2438	461	1.0346245622255863	0.9201031024927411	1.1634000383874707	0.5695521490687925
