outcome	model	predictor	predictor_label	vif	flag_5	flag_10
Depression	M1_HR	hr_mesor	HR mesor	1.0873102193047783	False	False
Depression	M1_HR	hr_amplitude	HR amplitude	1.1286332888506962	False	False
Depression	M1_HR	hr_acrophase	HR acrophase	1.057112053055654	False	False
Depression	M2_HR+activity	hr_mesor	HR mesor	1.1820492770429374	False	False
Depression	M2_HR+activity	hr_amplitude	HR amplitude	1.9766116623039158	False	False
Depression	M2_HR+activity	hr_acrophase	HR acrophase	5.042239355228208	True	False
Depression	M2_HR+activity	steps_mesor	Steps mesor	35.15651312048389	True	True
Depression	M2_HR+activity	steps_amplitude	Steps amplitude	39.36215730852515	True	True
Depression	M2_HR+activity	steps_acrophase	Steps acrophase	14.690213626927688	True	True
Depression	M2_HR+activity	mets_mesor	METs mesor	25.63594872040392	True	True
Depression	M2_HR+activity	mets_amplitude	METs amplitude	32.016996722900245	True	True
Depression	M2_HR+activity	mets_acrophase	METs acrophase	22.768802612577897	True	True
Depression	M3_HR+sleep	hr_mesor	HR mesor	1.1151224633715147	False	False
Depression	M3_HR+sleep	hr_amplitude	HR amplitude	1.1702532031684096	False	False
Depression	M3_HR+sleep	hr_acrophase	HR acrophase	1.4908010040120279	False	False
Depression	M3_HR+sleep	sleep_mesor	Sleep mesor	5.015366295660239	True	False
Depression	M3_HR+sleep	sleep_amplitude	Sleep amplitude	5.5054617318055765	True	False
Depression	M3_HR+sleep	sleep_acrophase	Sleep acrophase	1.6054880181813258	False	False
Depression	M4_full	hr_mesor	HR mesor	1.1892817427660674	False	False
Depression	M4_full	hr_amplitude	HR amplitude	1.9827661031713595	False	False
Depression	M4_full	hr_acrophase	HR acrophase	5.342334162218359	True	False
Depression	M4_full	steps_mesor	Steps mesor	35.468002547966904	True	True
Depression	M4_full	steps_amplitude	Steps amplitude	39.83790342991674	True	True
Depression	M4_full	steps_acrophase	Steps acrophase	14.69963041581345	True	True
Depression	M4_full	mets_mesor	METs mesor	26.739016349779803	True	True
Depression	M4_full	mets_amplitude	METs amplitude	34.18206379102368	True	True
Depression	M4_full	mets_acrophase	METs acrophase	22.813040792892654	True	True
Depression	M4_full	sleep_mesor	Sleep mesor	5.111251694428755	True	False
Depression	M4_full	sleep_amplitude	Sleep amplitude	5.769509857054336	True	False
Depression	M4_full	sleep_acrophase	Sleep acrophase	1.6346448039734203	False	False
Obesity	M1_HR	hr_mesor	HR mesor	1.0852462248283479	False	False
Obesity	M1_HR	hr_amplitude	HR amplitude	1.139278307143592	False	False
Obesity	M1_HR	hr_acrophase	HR acrophase	1.0634149329310474	False	False
Obesity	M2_HR+activity	hr_mesor	HR mesor	1.1714793148894682	False	False
Obesity	M2_HR+activity	hr_amplitude	HR amplitude	2.021063507444866	False	False
Obesity	M2_HR+activity	hr_acrophase	HR acrophase	5.287815794357355	True	False
Obesity	M2_HR+activity	steps_mesor	Steps mesor	26.903003019208374	True	True
Obesity	M2_HR+activity	steps_amplitude	Steps amplitude	29.199775915923176	True	True
Obesity	M2_HR+activity	steps_acrophase	Steps acrophase	14.425539119567116	True	True
Obesity	M2_HR+activity	mets_mesor	METs mesor	17.84885085285706	True	True
Obesity	M2_HR+activity	mets_amplitude	METs amplitude	22.54667877026782	True	True
Obesity	M2_HR+activity	mets_acrophase	METs acrophase	22.655217078577753	True	True
Obesity	M3_HR+sleep	hr_mesor	HR mesor	1.1209104022413428	False	False
Obesity	M3_HR+sleep	hr_amplitude	HR amplitude	1.18682388978532	False	False
Obesity	M3_HR+sleep	hr_acrophase	HR acrophase	1.5459484056924908	False	False
Obesity	M3_HR+sleep	sleep_mesor	Sleep mesor	5.334222648143659	True	False
Obesity	M3_HR+sleep	sleep_amplitude	Sleep amplitude	5.901916543070621	True	False
Obesity	M3_HR+sleep	sleep_acrophase	Sleep acrophase	1.656447377932262	False	False
Obesity	M4_full	hr_mesor	HR mesor	1.1847618678938379	False	False
Obesity	M4_full	hr_amplitude	HR amplitude	2.0251181223018975	False	False
Obesity	M4_full	hr_acrophase	HR acrophase	5.576503819877538	True	False
Obesity	M4_full	steps_mesor	Steps mesor	27.302166209331883	True	True
Obesity	M4_full	steps_amplitude	Steps amplitude	29.645189695778004	True	True
Obesity	M4_full	steps_acrophase	Steps acrophase	14.446471368075978	True	True
Obesity	M4_full	mets_mesor	METs mesor	18.500688558031463	True	True
Obesity	M4_full	mets_amplitude	METs amplitude	24.008953240019782	True	True
