label	predictor	n	n_cases	OR	OR_lo	OR_hi	p	analysis	OR_feature	OR_feature_lo	OR_feature_hi	p_feature	OR_mesor_in_joint	p_mesor_in_joint	mesor_OR_sameN	mesor_OR_sameN_lo	mesor_OR_sameN_hi	mesor_p_sameN
Typical-day mesor	typical_day_mesor	2467	463	1.3053004258507752	1.1707125407272774	1.455360852859545	1.5968517116916223e-06	between										
Typical-day amplitude	typical_day_amplitude	2467	463	0.9015885770952906	0.8148501187779005	0.9975600955520856	0.04471800660921111	between										
Typical-day acrophase	typical_day_acrophase	2467	463	1.0873395506368493	0.9812170940296547	1.2049395649271202	0.11002538350945926	between										
SD daily mesor	SD_daily_mesor	2231	410	1.183826095334903	1.0711599562830596	1.3083426203299406	0.0009424810346025621	within_univariate										
SD daily amplitude	SD_daily_amplitude	2231	410	1.0275199395771963	0.9281536695129428	1.137524163194619	0.600858035099171	within_univariate										
SD daily acrophase	SD_daily_acrophase	2231	410	1.2880284377019533	1.1656258372728436	1.4232845594864765	6.759698878290004e-07	within_univariate										
SD daily mesor	SD_daily_mesor	2231	410					within_joint_with_mesor	1.20155654518748	1.0893181851442557	1.3253594321402808	0.000242718298936788	1.3397457362248184	8.747197010213501e-07				
SD daily amplitude	SD_daily_amplitude	2231	410					within_joint_with_mesor	1.0939230158159512	0.9845738636455182	1.2154167490299224	0.09479216102220411	1.3497519832447176	7.727025866244248e-07				
SD daily acrophase	SD_daily_acrophase	2231	410					within_joint_with_mesor	1.2922536873922748	1.1670714148463015	1.4308632456728043	8.1439760144106e-07	1.3300901497256166	1.6116517299365697e-06				
SD daily mesor		2231	410					mesor_same_N_re_run							1.3219837602446234	1.1786024876480343	1.4828078853269921	1.8844444044983754e-06
SD daily amplitude		2231	410					mesor_same_N_re_run							1.3219837602446234	1.1786024876480343	1.4828078853269921	1.8844444044983754e-06
SD daily acrophase		2231	410					mesor_same_N_re_run							1.3219837602446234	1.1786024876480343	1.4828078853269921	1.8844444044983754e-06
