label	predictor	n	n_cases	OR	OR_lo	OR_hi	p	analysis	OR_feature	OR_feature_lo	OR_feature_hi	p_feature	OR_mesor_in_joint	p_mesor_in_joint	mesor_OR_sameN	mesor_OR_sameN_lo	mesor_OR_sameN_hi	mesor_p_sameN
Typical-day mesor	typical_day_mesor	3932	457	1.2930949912739569	1.1694918520712445	1.4297616982079941	5.321723835350372e-07	between										
Typical-day amplitude	typical_day_amplitude	3932	457	0.9128231868470958	0.8268305314167164	1.007759315585479	0.07078536869128976	between										
Typical-day acrophase	typical_day_acrophase	3932	457	1.135650477591684	1.0316459850558768	1.2501400925670898	0.009439462460565708	between										
SD daily mesor	SD_daily_mesor	3534	407	1.168472025021479	1.0689595989283351	1.2772483399995451	0.0006072823066401954	within_univariate										
SD daily amplitude	SD_daily_amplitude	3534	407	1.1245187394833118	1.02147287210439	1.237959842089576	0.016700979759943967	within_univariate										
SD daily acrophase	SD_daily_acrophase	3534	407	1.1579285295514319	1.0623842479750778	1.2620654740549153	0.0008460890697426253	within_univariate										
SD daily mesor	SD_daily_mesor	3534	407					within_joint_with_mesor	1.1824876989966004	1.0836372374604748	1.2903553974899986	0.000167652752489989	1.3048023083179485	1.1023650394750897e-06				
SD daily amplitude	SD_daily_amplitude	3534	407					within_joint_with_mesor	1.2001604011350144	1.0802657024489593	1.3333617694121085	0.0006794569947891682	1.3521668451920381	1.0017280778075727e-07				
SD daily acrophase	SD_daily_acrophase	3534	407					within_joint_with_mesor	1.1675962250184466	1.0718740660221764	1.2718667126042038	0.00038473624780142234	1.2987304663065349	1.185918423090211e-06				
SD daily mesor		3534	407					mesor_same_N_re_run							1.290111700708554	1.1611207502016454	1.433432483241793	2.143902875165274e-06
SD daily amplitude		3534	407					mesor_same_N_re_run							1.290111700708554	1.1611207502016454	1.433432483241793	2.143902875165274e-06
SD daily acrophase		3534	407					mesor_same_N_re_run							1.290111700708554	1.1611207502016454	1.433432483241793	2.143902875165274e-06
