Variable	Healthy controls (N = 2,166)	Incident depression (N = 463)	Incident obesity (N = 457)	Incident hypertension (N = 270)
Demographic characteristics				
    Age at Wave 2 (years), M (SD)	12.02 ± 0.66	11.98 ± 0.64	11.93 ± 0.64	12.05 ± 0.67
    Sex assigned at birth, n (%)				
    Female	1,419 (65.5%)	319 (68.9%)	238 (52.1%)	93 (34.4%)
    Male	747 (34.5%)	144 (31.1%)	219 (47.9%)	177 (65.6%)
    Race / ethnicity, n (%)				
    White	1,445 (66.7%)	291 (62.9%)	278 (60.8%)	148 (54.8%)
    Hispanic	304 (14.0%)	78 (16.8%)	77 (16.8%)	35 (13.0%)
    Black	166 (7.7%)	27 (5.8%)	49 (10.7%)	44 (16.3%)
    Asian	56 (2.6%)	5 (1.1%)	6 (1.3%)	4 (1.5%)
    Other	195 (9.0%)	62 (13.4%)	47 (10.3%)	39 (14.4%)
    Missing	0 (0.0%)	0 (0.0%)	0 (0.0%)	0 (0.0%)
    Annual household income, n (%)				
    <$50,000	295 (13.6%)	109 (23.5%)	102 (22.3%)	65 (24.1%)
    $50,000–$100,000	610 (28.2%)	150 (32.4%)	139 (30.4%)	81 (30.0%)
    >$100,000	1,144 (52.8%)	177 (38.2%)	192 (42.0%)	102 (37.8%)
    Missing/declined	0 (0.0%)	0 (0.0%)	0 (0.0%)	0 (0.0%)
Wave-2 cardiac rhythm parameters				
    Mesor (bpm), M (SD)	81.55 ± 7.42	83.59 ± 7.61	83.28 ± 7.21	83.89 ± 8.36
    Amplitude (bpm), M (SD)	12.37 ± 2.98	12.12 ± 2.77	12.33 ± 2.94	12.03 ± 3.06
    Acrophase (clock hour), M (SD)	14.82 ± 1.10	14.90 ± 1.13	14.92 ± 1.18	15.03 ± 1.33
    Per-participant cosinor R², M (SD)	0.82 ± 0.11	0.82 ± 0.10	0.82 ± 0.12	0.81 ± 0.13
Wave-2 baseline clinical measures				
    CBCL DSM Depression T-score, M (SD)	52.44 ± 3.62	55.63 ± 4.76	54.63 ± 6.46	54.75 ± 6.49
    CBCL Internalizing T-score, M (SD)	45.83 ± 8.77	52.94 ± 8.61	48.83 ± 10.59	48.37 ± 10.08
    BMI (kg/m²), M (SD)	17.44 ± 1.82	20.77 ± 5.01	19.29 ± 1.61	23.19 ± 5.35
    BMI percentile (CDC), M (SD)	40.53 ± 23.62	62.75 ± 29.84	66.06 ± 18.55	77.73 ± 26.60
    Systolic blood pressure (mmHg), M (SD)	99.46 ± 9.58	102.73 ± 10.23	102.87 ± 10.08	107.53 ± 10.71
    Diastolic blood pressure (mmHg), M (SD)	58.08 ± 7.47	61.60 ± 8.76	60.15 ± 8.99	63.85 ± 7.77
Wave-3/4 follow-up outcome measures				
    CBCL DSM Depression T-score, M (SD)	52.68 ± 3.63	65.17 ± 7.32	56.37 ± 7.51	56.90 ± 7.23
    CBCL Internalizing T-score, M (SD)	46.41 ± 8.86	61.70 ± 8.41	49.11 ± 11.49	48.89 ± 10.85
    BMI (kg/m²), M (SD)	19.25 ± 2.04	23.34 ± 5.80	24.14 ± 2.68	26.21 ± 6.53
    BMI percentile (CDC), M (SD)	44.94 ± 23.86	70.30 ± 27.28	85.60 ± 13.66	81.84 ± 23.34
    Systolic blood pressure (mmHg), M (SD)	105.65 ± 9.98	107.95 ± 11.60	111.12 ± 11.81	124.79 ± 11.40
    Diastolic blood pressure (mmHg), M (SD)	61.02 ± 7.44	64.87 ± 8.78	63.95 ± 8.69	73.78 ± 10.80
