Outcome	Parameter	OR (per SD)	95% CI	p
Depression	Sd daily mesor	1.12	[1.02, 1.23]	0.014
Depression	Sd daily amplitude	1.04	[0.94, 1.14]	0.468
Depression	Sd daily acrophase	1.15	[1.05, 1.25]	0.002
Depression	Sd daily mesor	nan	[nan, nan]	—
Depression	Sd daily amplitude	nan	[nan, nan]	—
Depression	Sd daily acrophase	nan	[nan, nan]	—
Obesity	Sd daily mesor	1.17	[1.07, 1.28]	< .001
Obesity	Sd daily amplitude	1.12	[1.02, 1.24]	0.017
Obesity	Sd daily acrophase	1.16	[1.06, 1.26]	< .001
Obesity	Sd daily mesor	nan	[nan, nan]	—
Obesity	Sd daily amplitude	nan	[nan, nan]	—
Obesity	Sd daily acrophase	nan	[nan, nan]	—
Hypertension	Sd daily mesor	1.08	[0.94, 1.24]	0.287
Hypertension	Sd daily amplitude	1.04	[0.92, 1.18]	0.517
Hypertension	Sd daily acrophase	1.09	[0.97, 1.22]	0.136
Hypertension	Sd daily mesor	nan	[nan, nan]	—
Hypertension	Sd daily amplitude	nan	[nan, nan]	—
Hypertension	Sd daily acrophase	nan	[nan, nan]	—
