Cell	Parameter	N at-risk	N incident	OR (per SD)	95% CI	p
Depression → Obesity	Between-person mesor	238	41	1.55	[1.08, 2.21]	0.017
Depression → Obesity	Between-person amplitude	238	41	1.05	[0.76, 1.47]	0.753
Depression → Obesity	Between-person acrophase	238	41	0.99	[0.71, 1.39]	0.952
Depression → Obesity	SD daily mesor	206	37	1.39	[0.97, 2.01]	0.075
Depression → Obesity	SD daily amplitude	206	37	1.08	[0.77, 1.52]	0.639
Depression → Obesity	SD daily acrophase	206	37	0.82	[0.59, 1.14]	0.240
Obesity → Depression	Between-person mesor	1210	138	0.95	[0.79, 1.15]	0.621
Obesity → Depression	Between-person amplitude	1210	138	1.03	[0.87, 1.22]	0.735
Obesity → Depression	Between-person acrophase	1210	138	0.94	[0.81, 1.09]	0.411
Obesity → Depression	SD daily mesor	1007	119	1.35	[1.14, 1.60]	< .001
Obesity → Depression	SD daily amplitude	1007	119	1.11	[0.92, 1.34]	0.273
Obesity → Depression	SD daily acrophase	1007	119	1.07	[0.90, 1.26]	0.450
