Outcome	Comparison	ΔAUC	LRT χ²	df	p (LRT)
Depression	M2: HR + activity vs M1: HR only	+0.091	144.05	6	< .001
Depression	M3: HR + sleep vs M1: HR only	+0.028	13.27	3	0.004
Depression	M4: HR + activity + sleep vs M1: HR only	+0.102	157.28	9	< .001
Depression	M4: HR + activity + sleep vs M2: HR + activity	+0.011	13.23	3	0.004
Depression	M4: HR + activity + sleep vs M3: HR + sleep	+0.075	144.01	6	< .001
Obesity	M2: HR + activity vs M1: HR only	+0.088	132.81	6	< .001
Obesity	M3: HR + sleep vs M1: HR only	+0.003	2.94	3	0.402
Obesity	M4: HR + activity + sleep vs M1: HR only	+0.092	136.76	9	< .001
Obesity	M4: HR + activity + sleep vs M2: HR + activity	+0.004	3.95	3	0.267
Obesity	M4: HR + activity + sleep vs M3: HR + sleep	+0.089	133.82	6	< .001
Hypertension	M2: HR + activity vs M1: HR only	+0.077	191.75	6	< .001
Hypertension	M3: HR + sleep vs M1: HR only	+0.019	22.60	3	< .001
Hypertension	M4: HR + activity + sleep vs M1: HR only	+0.095	217.14	9	< .001
Hypertension	M4: HR + activity + sleep vs M2: HR + activity	+0.018	25.38	3	< .001
Hypertension	M4: HR + activity + sleep vs M3: HR + sleep	+0.076	194.54	6	< .001
